;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 15/10/2021 01:20:09 p. m.
;----------------------------------------------

;Address Opcode 	ASM
0x0000	0xF010EF00  	GOTO        8192
0x0004	0x0000      	NOP
0x0006	0x0000      	NOP
0x0008	0xF000EF00  	GOTO        0
0x000C	0x0000      	NOP
0x000E	0x0000      	NOP
0x0010	0x0000      	NOP
0x0012	0x0000      	NOP
0x0014	0x0000      	NOP
0x0016	0x0000      	NOP
0x0018	0xD7F3      	BRA         0
_main:
0x2000	0xF014EC37  	CALL        10350, 0
;DS18B20.c,42 :: 		void main() org 0x2000
;DS18B20.c,44 :: 		Lcd_Init();                                //Inicializa el LCD
0x2004	0xDAEE      	RCALL       _Lcd_Init
;DS18B20.c,45 :: 		Lcd_Cmd(_LCD_CLEAR);                       //Limpia el LCD
0x2006	0x0E01      	MOVLW       1
0x2008	0x6E3E      	MOVWF       FARG_Lcd_Cmd_out_char 
0x200A	0xD9BC      	RCALL       _Lcd_Cmd
;DS18B20.c,46 :: 		Lcd_Cmd(_LCD_CURSOR_OFF);                  //Posiciona el cursor
0x200C	0x0E0C      	MOVLW       12
0x200E	0x6E3E      	MOVWF       FARG_Lcd_Cmd_out_char 
0x2010	0xD9B9      	RCALL       _Lcd_Cmd
;DS18B20.c,47 :: 		Lcd_Out(1, 1, " Temperature:   ");
0x2012	0x0E01      	MOVLW       1
0x2014	0x6E36      	MOVWF       FARG_Lcd_Out_row 
0x2016	0x0E01      	MOVLW       1
0x2018	0x6E37      	MOVWF       FARG_Lcd_Out_column 
0x201A	0x0E20      	MOVLW       ?lstr2_DS18B20
0x201C	0x6E38      	MOVWF       FARG_Lcd_Out_text 
0x201E	0x0E00      	MOVLW       hi_addr(?lstr2_DS18B20)
0x2020	0x6E39      	MOVWF       FARG_Lcd_Out_text+1 
0x2022	0xDA9A      	RCALL       _Lcd_Out
;DS18B20.c,50 :: 		Lcd_Chr(2,13,223);
0x2024	0x0E02      	MOVLW       2
0x2026	0x6E36      	MOVWF       FARG_Lcd_Chr_row 
0x2028	0x0E0D      	MOVLW       13
0x202A	0x6E37      	MOVWF       FARG_Lcd_Chr_column 
0x202C	0x0EDF      	MOVLW       223
0x202E	0x6E38      	MOVWF       FARG_Lcd_Chr_out_char 
0x2030	0xDB86      	RCALL       _Lcd_Chr
;DS18B20.c,51 :: 		Lcd_Chr(2,14,'C');
0x2032	0x0E02      	MOVLW       2
0x2034	0x6E36      	MOVWF       FARG_Lcd_Chr_row 
0x2036	0x0E0E      	MOVLW       14
0x2038	0x6E37      	MOVWF       FARG_Lcd_Chr_column 
0x203A	0x0E43      	MOVLW       67
